LEA Code,District Name,School Code,School Name,Organization Type,School Type,Low Grade,High Grade,Address,City,State,Zip,CESA,Locale,County,Current Status,Categories And Programs,Virtual School,IB Program,Phone Number,Fax Number,Charter Status,Website Url
3892,Neenah Joint,0125,ACE Alliance Charter Elementary,Public School,Elementary School,K4,06,920 Higgins Ave,Neenah,WI,54956,06,City - small,Winnebago,OPEN,Charter,Supplemental Virtual,,920-751-6995,920-751-6984,TRUE,www.neenah.k12.wi.us
2695,Janesville,0020,Adams Elementary,Public School,Elementary School,K4,05,1138 E Memorial Dr,Janesville,WI,53545,02,City - small,Rock,OPEN,Title I,Supplemental Virtual,,608-743-6300,608-743-6310,FALSE,www.janesville.k12.wi.us/ada
0014,Adams-Friendship Area,0130,Adams-Friendship Elementary,Public School,Elementary School,K4,04,500 N Pierce St,Adams,WI,53910,05,Rural - remote,Adams,OPEN,Title I,Supplemental Virtual,,608-339-3016,608-339-0416,FALSE,www.afasd.net
0014,Adams-Friendship Area,0040,Adams-Friendship High,Public School,High School,09,12,1109 E North St,Adams,WI,53910,05,Rural - remote,Adams,OPEN,,Supplemental Virtual,,608-339-3921,608-339-2569,FALSE,www.afasd.net
0014,Adams-Friendship Area,0210,Adams-Friendship Middle,Public School,Middle School,05,08,420 N Main St,Adams,WI,53910,05,Rural - remote,Adams,OPEN,Title I,Supplemental Virtual,,608-339-4064,608-339-2434,FALSE,www.afasd.net
5390,Slinger,0100,Addison Elementary,Public School,Elementary School,K4,05,5050 Indian Rd,Hartford,WI,53027,06,Rural - fringe,Washington,OPEN,,Supplemental Virtual,,262-644-8037,262-644-1936,FALSE,www.slinger.k12.wi.us
8022,Adeline Montessori School Inc,8148,Adeline Montessori School Inc,Independent Charter School,Combined Elementary/Secondary School,K4,08,995 S Sawyer Rd,Oconomowoc,WI,53066,01,Rural - fringe,Waukesha,OPEN,Charter,Supplemental Virtual,,262-201-4492,,TRUE,http://adelinemotessori.com
0308,Barron Area,0810,Advanced Learning Academy of Wisconsin,Public School,Combined Elementary/Secondary School,KG,12,1050 E Woodland Ave,Barron,WI,54812,11,Rural - fringe,Barron,CLOSED,Charter,Exclusively Virtual,,715-537-5627,715-637-5161,TRUE,www.barron.k12.wi.us/schools/alaw.cfm
0280,Baraboo,0180,Al Behrman Elementary,Public School,Elementary School,K4,05,400 Mulberry St,Baraboo,WI,53913,05,Town - distant,Sauk,OPEN,Title I,Supplemental Virtual,,608-355-3910,608-355-3971,FALSE,www.baraboo.k12.wi.us
3619,Milwaukee,0162,ALBA - Academia de Lenguaje y Bellas,Public School,Elementary School,K4,08,1712 S 32nd St,Milwaukee,WI,53215,01,City - large,Milwaukee,OPEN,"Charter, Title I",Supplemental Virtual,Primary Years Programme,414-902-7525,414-902-7526,TRUE,www.milwaukee.k12.wi.us
0063,Albany,0060,Albany Community Middle,Public School,Middle School,06,08,309 Vinton St,Albany,WI,53502,02,Rural - distant,Green,OPEN,,Supplemental Virtual,,608-862-3135,608-862-3230,FALSE,www.albany.k12.wi.us
0063,Albany,0020,Albany Elementary,Public School,Elementary School,K4,05,309 Vinton St,Albany,WI,53502,02,Rural - distant,Green,OPEN,Title I,Supplemental Virtual,,608-862-3225,608-862-3230,FALSE,www.albany.k12.wi.us
0063,Albany,0040,Albany High,Public School,High School,09,12,309 Vinton St,Albany,WI,53502,02,Rural - distant,Green,OPEN,,Supplemental Virtual,,608-862-3135,608-862-3230,FALSE,www.albany.k12.wi.us
3619,Milwaukee,0075,Alcott Elementary,Public School,Elementary School,K4,08,3563 S 97th St,Milwaukee,WI,53228,01,City - large,Milwaukee,OPEN,Title I,Supplemental Virtual,,414-604-7400,414-604-7415,FALSE,www.milwaukee.k12.wi.us
2289,Green Bay Area Public,0020,Aldo Leopold Community School K-8,Public School,Combined Elementary/Secondary School,K4,08,622 Eliza St,Green Bay,WI,54301,07,City - midsize,Brown,OPEN,,Supplemental Virtual,,920-448-2140,920-448-3552,FALSE,www.gbaps.org
0413,Beloit,0020,Aldrich Intermediate,Public School,Middle School,06,08,1859 Northgate Dr,Beloit,WI,53511,02,City - small,Rock,OPEN,Title I,Supplemental Virtual,,608-361-3606,608-361-4122,FALSE,www.sdb.k12.wi.us/aldrich
3906,Nekoosa,0020,Alexander Middle,Public School,Combined Elementary/Secondary School,04,08,540 Birch St,Nekoosa,WI,54457,05,Rural - fringe,Wood,OPEN,,Supplemental Virtual,,715-886-8040,715-886-8097,FALSE,www.nekoosasd.net
0070,Algoma,0020,Algoma Elementary,Public School,Elementary School,K4,06,514 Fremont St,Algoma,WI,54201,07,Town - distant,Kewaunee,OPEN,,Supplemental Virtual,,920-487-7001,920-487-7015,FALSE,www.algomawolves.org
0070,Algoma,0040,Algoma High,Public School,High School,07,12,1715 Division St,Algoma,WI,54201,07,Town - distant,Kewaunee,OPEN,,Supplemental Virtual,,920-487-7001,920-487-7016,FALSE,www.algomawolves.org
0070,Algoma,0400,Algoma Venture Academy,Public School,High School,07,12,1715 Division St,Algoma,WI,54201,07,Town - distant,Kewaunee,OPEN,Charter,Supplemental Virtual,,920-487-7001,,TRUE,http://www.algomaventureacademy.org
4620,Racine Unified,0113,All District 4 Year Old Kindergarten,Public School,Elementary School,K4,K4,815 De Koven Ave,Racine,WI,53403,01,City - small,Racine,OPEN,,Supplemental Virtual,,262-664-8202,262-664-8225,FALSE,www.rusd.org
3619,Milwaukee,0073,Allen-Field Elementary,Public School,Elementary School,K4,05,730 W Lapham Blvd,Milwaukee,WI,53204,01,City - large,Milwaukee,OPEN,Title I,Supplemental Virtual,,414-902-9200,414-902-9215,FALSE,www.milwaukee.k12.wi.us
5390,Slinger,0010,Allenton Elementary,Public School,Elementary School,K4,05,228 Weis St,Allenton,WI,53002,06,Rural - fringe,Washington,OPEN,Title I,Supplemental Virtual,,262-629-5546,262-629-1821,FALSE,www.slinger.k12.wi.us
3619,Milwaukee,0413,Alliance School of Milwaukee,Public School,High School,09,12,850 W Walnut St,Milwaukee,WI,53205,01,City - large,Milwaukee,OPEN,"Charter, Title I",Supplemental Virtual,,414-267-5400,414-267-5415,TRUE,www.allianceschool.org
0084,Alma,0020,Alma Elementary,Public School,Elementary School,K4,08,S1618 State Road 35,Alma,WI,54610,04,Rural - remote,Buffalo,OPEN,Title I,Supplemental Virtual,,608-685-4416,844-202-1023,FALSE,www.alma.k12.wi.us
0084,Alma,0040,Alma High,Public School,High School,09,12,S1618 State Road 35,Alma,WI,54610,04,Rural - remote,Buffalo,OPEN,,Supplemental Virtual,,608-685-4416,844-202-1023,FALSE,www.alma.k12.wi.us
0105,Almond-Bancroft,0020,Almond-Bancroft Elementary,Public School,Elementary School,K4,05,1336 Elm St,Almond,WI,54909,05,Rural - remote,Portage,OPEN,Title I,Supplemental Virtual,,715-366-2941,715-366-2943,FALSE,www.abschools.k12.wi.us
0105,Almond-Bancroft,0040,Almond-Bancroft High,Public School,High School,09,12,1336 Elm St,Almond,WI,54909,05,Rural - remote,Portage,OPEN,,Supplemental Virtual,,715-366-2941,715-366-2943,FALSE,www.abschools.k12.wi.us
0105,Almond-Bancroft,0250,Almond-Bancroft Middle,Public School,Middle School,06,08,1336 Elm St,Almond,WI,54909,05,Rural - remote,Portage,OPEN,,Supplemental Virtual,,715-366-2941,715-366-2943,FALSE,www.abschools.k12.wi.us
4179,Oshkosh Area,0170,Accelerated Advanced Learning Program,Public School,Combined Elementary/Secondary School,04,08,325 S Eagle St,Oshkosh,WI,54902,06,City - small,Winnebago,CLOSED,Charter,Supplemental Virtual,,920-424-0320,920-424-7514,TRUE,www.oshkosh.k12.wi.us
0112,Altoona,0080,Altoona Elementary,Public School,Elementary School,K4,03,157 Bartlett Ave,Altoona,WI,54720,10,Rural - fringe,Eau Claire,OPEN,,Supplemental Virtual,,715-839-6050,715-839-6166,FALSE,www.altoona.k12.wi.us
0112,Altoona,0040,Altoona High,Public School,High School,09,12,711 7th St W,Altoona,WI,54720,10,Suburb - midsize,Eau Claire,OPEN,,Supplemental Virtual,,715-839-6031,715-839-6028,FALSE,www.altoona.k12.wi.us
0112,Altoona,0100,Altoona Intermediate,Public School,Elementary School,04,05,1903 Bartlett Ave,Altoona,WI,54720,10,Suburb - midsize,Eau Claire,OPEN,,Supplemental Virtual,,715-839-6030,715-839-6099,FALSE,www.altoona.k12.wi.us
0112,Altoona,0060,Altoona Middle,Public School,Middle School,06,08,1903 Bartlett Ave,Altoona,WI,54720,10,Suburb - midsize,Eau Claire,OPEN,,Supplemental Virtual,,715-839-6030,715-839-6099,FALSE,www.altoona.k12.wi.us
0119,Amery,0040,Amery High,Public School,High School,09,12,555 Minneapolis Ave S,Amery,WI,54001,11,Rural - fringe,Polk,OPEN,,Supplemental Virtual,,715-268-9771,715-268-7792,FALSE,www.amerysd.k12.wi.us
0119,Amery,0050,Amery Intermediate,Public School,Elementary School,03,05,543 Minneapolis Ave S,Amery,WI,54001,11,Rural - fringe,Polk,OPEN,Title I,Supplemental Virtual,,715-268-9771,715-268-5612,FALSE,www.amerysd.k12.wi.us
0119,Amery,0060,Amery Middle,Public School,Middle School,06,08,501 Minneapolis Ave S,Amery,WI,54001,11,Rural - fringe,Polk,OPEN,,Supplemental Virtual,,715-268-9771,715-268-4967,FALSE,www.amerysd.k12.wi.us
0126,Tomorrow River,0020,Amherst Elementary,Public School,Elementary School,K4,04,357 N Main St,Amherst,WI,54406,05,Rural - distant,Portage,OPEN,Title I,Supplemental Virtual,,715-824-5523,715-824-5474,FALSE,www.amherst.k12.wi.us
0126,Tomorrow River,0060,Amherst High,Public School,High School,09,12,357 N Main St,Amherst,WI,54406,05,Rural - distant,Portage,OPEN,,Supplemental Virtual,,715-824-5522,715-824-5454,FALSE,www.amherst.k12.wi.us
0126,Tomorrow River,0080,Amherst Middle,Public School,Middle School,05,08,357 N Main St,Amherst,WI,54406,05,Rural - distant,Portage,OPEN,,Supplemental Virtual,,715-824-5524,715-824-6354,FALSE,www.amherst.k12.wi.us
2058,Germantown,0020,Amy Belle Elementary,Public School,Elementary School,K4,05,3294 Willow Creek Rd,Colgate,WI,53017,01,Rural - fringe,Washington,OPEN,,,,262-628-7825,262-628-7672,FALSE,www.gsdwi.org
3619,Milwaukee,0215,Andrew S Douglas Middle,Public School,Middle School,06,08,3620 N 18th St,Milwaukee,WI,53206,01,City - large,Milwaukee,OPEN,Title I,Supplemental Virtual,,414-256-8200,,FALSE,www.milwaukee.k12.wi.us
3668,Mondovi,0800,Anthony Acres School,Public School,Combined Elementary/Secondary School,06,12,S12115 State Road 37,Mondovi,WI,54755,10,Rural - distant,Eau Claire,OPEN,Charter,,,715-926-3684,715-926-3617,TRUE,https://www.mondovi.k12.wi.us/o/anthony-acres-school
0140,Antigo Unified,0070,Antigo High,Public School,High School,08,12,1900 10th Ave,Antigo,WI,54409,09,Rural - fringe,Langlade,OPEN,,Supplemental Virtual,,715-623-7611,715-623-7624,FALSE,www.antigo.k12.wi.us
0140,Antigo Unified,0050,Antigo Middle,Public School,Middle School,04,07,815 7th Ave,Antigo,WI,54409,09,Town - distant,Langlade,OPEN,,,,715-623-4173,715-627-4982,FALSE,www.antigo.k12.wi.us
0147,Appleton Area,0155,Appleton Bilingual School,Public School,Elementary School,KG,05,912 N Oneida St,Appleton,WI,54911,06,City - small,Outagamie,OPEN,Charter,Supplemental Virtual,,920-852-5535,920-852-5536,TRUE,www.aasd.k12.wi.us/appletonbilingual
0147,Appleton Area,0165,Appleton Community 4K,Public School,Elementary School,K4,K4,2701 N Oneida St,Appleton,WI,54911,06,City - small,Outagamie,OPEN,,Supplemental Virtual,,920-852-5600,920-852-5601,FALSE,www.aasd.k12.wi.us
0147,Appleton Area,0800,Appleton Cooperative Educational Center,Public School,Combined Elementary/Secondary School,09,12,320 S Walnut St,Appleton,WI,54911,06,City - small,Outagamie,OPEN,Alternative,Supplemental Virtual,,920-832-4396,920-832-5764,FALSE,www.aasd.k12.wi.us
0147,Appleton Area,0440,Appleton eSchool,Public School,High School,07,12,2121 Emmers Dr,Appleton,WI,54915,06,City - small,Outagamie,OPEN,Charter,Exclusively Virtual,,920-852-5608,920-852-5609,TRUE,www.aasd.k12.wi.us
0147,Appleton Area,0145,Appleton Public Montessori,Public School,Elementary School,K4,06,1545 E Broadway Dr,Grand Chute,WI,54915,06,Rural - fringe,Outagamie,OPEN,Charter,Supplemental Virtual,,920-852-5515,920-852-5516,TRUE,www.aasd.k12.wi.us
0147,Appleton Area,0490,Appleton Technical Academy,Public School,High School,09,12,610 N Badger Ave,Appleton,WI,54914,06,City - small,Outagamie,OPEN,"Charter, Vocational Education",Supplemental Virtual,,920-852-5410,920-852-5526,TRUE,www.aasd.k12.wi.us
0147,Appleton Area,0820,Appleview,Public School,Combined Elementary/Secondary School,K4,12,120 E Harris St,Appleton,WI,54911,06,City - small,Outagamie,OPEN,Special Education,Supplemental Virtual,,920-933-7062,920-832-1730,FALSE,www.aasd.k12.wi.us
6720,Woodruff J1,0020,Arbor Vitae-Woodruff Elementary,Public School,Elementary School,K4,08,11065 Old Highway 51 N,Arbor Vitae,WI,54568,09,Rural - remote,Vilas,OPEN,Title I,Supplemental Virtual,,715-356-3282,715-358-2933,FALSE,www.avwschool.org
6181,Waunakee Community,0110,Arboretum Elementary,Public School,Elementary School,KG,04,1350 Arboretum Dr,Waunakee,WI,53597,02,Suburb - large,Dane,OPEN,,Supplemental Virtual,,608-849-1800,608-849-1810,FALSE,www.waunakee.k12.wi.us
0154,Arcadia,0190,Arcadia Elementary,Public School,Elementary School,K4,04,358 E River St,Arcadia,WI,54612,04,Town - distant,Trempealeau,OPEN,Title I,Supplemental Virtual,,608-323-3315,608-323-7015,FALSE,www.arcadia.k12.wi.us
0154,Arcadia,0040,Arcadia High,Public School,High School,09,12,756 Raider Dr,Arcadia,WI,54612,04,Town - distant,Trempealeau,OPEN,,Supplemental Virtual,,608-323-3315,608-323-8181,FALSE,www.arcadia.k12.wi.us
0154,Arcadia,0290,Arcadia Middle,Public School,Middle School,05,08,725 Fairfield Ave,Arcadia,WI,54612,04,Town - distant,Trempealeau,OPEN,Title I,Supplemental Virtual,,608-323-7500,608-323-3188,FALSE,www.arcadia.k12.wi.us
0161,Argyle,0020,Argyle Elementary,Public School,Elementary School,K4,05,14665 State Road 78,Argyle,WI,53504,03,Rural - distant,Lafayette,OPEN,Title I,Supplemental Virtual,,608-543-3318,608-543-3868,FALSE,www.argyle.k12.wi.us
0161,Argyle,0040,Argyle High,Public School,High School,09,12,14665 State Road 78,Argyle,WI,53504,03,Rural - distant,Lafayette,OPEN,,Supplemental Virtual,,608-543-3318,608-543-3868,FALSE,www.argyle.k12.wi.us
0161,Argyle,0250,Argyle Middle,Public School,Middle School,06,08,14665 State Road 78,Argyle,WI,53504,03,Rural - distant,Lafayette,OPEN,,Supplemental Virtual,,608-543-3318,608-543-3868,FALSE,www.argyle.k12.wi.us
2695,Janesville,0860,ARISE Virtual Academy,Public School,Combined Elementary/Secondary School,KG,12,450 N Crosby Ave,Janesville,WI,53548,02,City - small,Rock,OPEN,Charter,Exclusively Virtual,,608-743-6016,608-741-7307,TRUE,www.janesville.k12.wi.us
2450,Arrowhead UHS,0020,Arrowhead High,Public School,High School,09,12,700 North Ave,Hartland,WI,53029,01,Suburb - large,Waukesha,OPEN,,Supplemental Virtual,,262-369-3611,262-367-4693,FALSE,www.arrowheadschools.org
4312,Pewaukee,0100,Asa Clark Middle,Public School,Middle School,06,08,472 Lake St,Pewaukee,WI,53072,01,Suburb - large,Waukesha,OPEN,,Supplemental Virtual,,262-695-5067,262-695-5004,FALSE,www.pewaukeeschools.org
0170,Ashland,0020,Ashland High,Public School,High School,09,12,1900 Beaser Ave,Ashland,WI,54806,12,Town - remote,Ashland,OPEN,Title I,Supplemental Virtual,,715-682-7089,715-682-2075,FALSE,www.ashland.k12.wi.us
0170,Ashland,0030,Ashland Middle,Public School,Middle School,06,08,203 11th St E,Ashland,WI,54806,12,Town - remote,Ashland,OPEN,Title I,Supplemental Virtual,,715-682-7087,715-682-7944,FALSE,www.ashland.k12.wi.us
0182,Ashwaubenon,0020,Ashwaubenon High,Public School,High School,09,12,2391 S Ridge Rd,Green Bay,WI,54304,07,Suburb - midsize,Brown,OPEN,,Supplemental Virtual,,920-492-2950,920-492-2912,FALSE,www.ashwaubenon.k12.wi.us
3619,Milwaukee,1063,ASSATA High,Public School,High School,09,12,3517 W Courtland Ave,Milwaukee,WI,53209,01,City - large,Milwaukee,OPEN,"Alternative, Partnership, Title I",Supplemental Virtual,,414-345-6113,414-345-9893,FALSE,www.milwaukee.k12.wi.us
0196,Athens,0020,Athens Elementary,Public School,Elementary School,K4,05,209 N Schlegel St,Athens,WI,54411,09,Rural - distant,Marathon,OPEN,Title I,,,715-257-7571,715-257-9026,FALSE,www.athens1.org
0196,Athens,0040,Athens High,Public School,High School,09,12,601 W Village Limits Rd,Athens,WI,54411,09,Rural - distant,Marathon,OPEN,Title I,Supplemental Virtual,,715-257-7511,715-257-7651,FALSE,www.athens1.org
0196,Athens,0060,Athens Middle,Public School,Middle School,06,08,601 W Village Limits Rd,Athens,WI,54411,09,Rural - distant,Marathon,OPEN,Title I,,,715-257-7511,715-257-7651,FALSE,www.athens1.org
5355,Shorewood,0020,Atwater Elementary,Public School,Elementary School,K4,06,2100 E Capitol Dr,Shorewood,WI,53211,01,Suburb - large,Milwaukee,OPEN,Title I,Supplemental Virtual,,414-963-6962,414-963-6970,FALSE,www.shorewoodschools.org
0203,Auburndale,0040,Auburndale Elementary,Public School,Elementary School,K4,05,10564 School Ave,Auburndale,WI,54412,05,Rural - distant,Wood,OPEN,Title I,Supplemental Virtual,,715-652-2812,715-652-2836,FALSE,www.aubschools.com
0203,Auburndale,0060,Auburndale High,Public School,High School,06,12,10629 North Rd,Auburndale,WI,54412,05,Rural - distant,Wood,OPEN,,Supplemental Virtual,,715-652-2115,715-652-6322,FALSE,www.aubschools.com
3619,Milwaukee,0434,Audubon Technology and Communication,Public School,High School,09,12,3300 S 39th St,Milwaukee,WI,53215,01,City - large,Milwaukee,OPEN,Title I,Supplemental Virtual,,414-902-7800,414-902-7815,FALSE,www.milwaukee.k12.wi.us
3619,Milwaukee,0041,Audubon Technology and Communication,Public School,Middle School,06,08,3300 S 39th St,Milwaukee,WI,53215,01,City - large,Milwaukee,OPEN,Title I,Supplemental Virtual,,414-902-7800,414-902-7815,FALSE,www.milwaukee.k12.wi.us
3619,Milwaukee,0077,Auer Avenue Elementary,Public School,Elementary School,K4,05,2319 W Auer Ave,Milwaukee,WI,53206,01,City - large,Milwaukee,OPEN,Title I,Supplemental Virtual,,414-875-4500,414-875-4515,FALSE,www.milwaukee.k12.wi.us
0217,Augusta,0020,Augusta Elementary,Public School,Elementary School,K4,05,E19320 Bartig Rd,Augusta,WI,54722,10,Rural - distant,Eau Claire,OPEN,Title I,Supplemental Virtual,,715-286-2291,715-286-3335,FALSE,www.augusta.k12.wi.us
0217,Augusta,0040,Augusta High,Public School,High School,09,12,E19320 Bartig Rd,Augusta,WI,54722,10,Rural - distant,Eau Claire,OPEN,,Supplemental Virtual,,715-286-2291,715-286-3393,FALSE,www.augusta.k12.wi.us
0217,Augusta,0200,Augusta Middle,Public School,Middle School,06,08,E19320 Bartig Rd,Augusta,WI,54722,10,Rural - distant,Eau Claire,OPEN,Title I,Supplemental Virtual,,715-286-2291,715-286-3393,FALSE,www.augusta.k12.wi.us
4543,Prairie du Chien Area,0010,BA Kennedy School,Public School,Elementary School,K4,02,420 Wacouta Ave,Prairie du Chien,WI,53821,03,Town - remote,Crawford,OPEN,,Supplemental Virtual,,608-326-3719,608-326-3707,FALSE,www.pdc.k12.wi.us
0147,Appleton Area,0060,Badger Elementary,Public School,Elementary School,KG,05,501 S Bluemound Dr,Appleton,WI,54914,06,Suburb - midsize,Outagamie,OPEN,,Supplemental Virtual,,920-852-5440,920-852-5441,FALSE,www.aasd.k12.wi.us
2884,Lake Geneva-Genoa City UHS,0020,Badger High,Public School,High School,09,12,220 E South St,Lake Geneva,WI,53147,02,Town - fringe,Walworth,OPEN,Title I,Supplemental Virtual,,262-348-2000,262-248-6178,FALSE,lakegenevaschools.com
6307,West Bend,0010,Badger Middle,Public School,Middle School,07,08,727 S 6th Ave,West Bend,WI,53095,06,Suburb - small,Washington,OPEN,Title I,Supplemental Virtual,,262-335-5456,262-306-4380,FALSE,www.west-bend.k12.wi.us
5901,Verona Area,0120,Badger Ridge Middle,Public School,Middle School,06,08,300 Richard Street,Verona,WI,53593,02,Suburb - large,Dane,OPEN,,,,608-845-4400,888-599-6732,FALSE,https://brms.verona.k12.wi.us/
3269,Madison Metropolitan,0200,Badger Rock Middle,Public School,Middle School,06,08,509 E Badger Rd,Madison,WI,53713,02,City - large,Dane,OPEN,"Charter, Title I",Supplemental Virtual,,608-442-1335,608-442-1347,TRUE,https://badgerrock.madison.k12.wi.us/
2289,Green Bay Area Public,0030,Baird Elementary,Public School,Elementary School,K4,05,539 Laverne Dr,Green Bay,WI,54311,07,City - midsize,Brown,OPEN,,Supplemental Virtual,,920-391-2410,920-391-2532,FALSE,www.gbaps.org
0231,Baldwin-Woodville Area,0040,Baldwin-Woodville High,Public School,High School,09,12,1000 13th Ave,Baldwin,WI,54002,11,Rural - fringe,Saint Croix,OPEN,,Supplemental Virtual,,715-684-3321,715-684-5160,FALSE,www.bwsd.k12.wi.us
0245,Bangor,0020,Bangor Elementary,Public School,Elementary School,K4,05,701 14th Ave S,Bangor,WI,54614,04,Rural - fringe,La Crosse,OPEN,Title I,Supplemental Virtual,,608-486-2331,608-486-4045,FALSE,www.bangor.k12.wi.us
0245,Bangor,0040,Bangor Middle/High,Public School,High School,06,12,700 10th Ave S,Bangor,WI,54614,04,Rural - fringe,La Crosse,OPEN,,Supplemental Virtual,,608-486-2331,608-486-4251,FALSE,www.bangor.k12.wi.us
5607,Stevens Point Area Public,0050,Bannach Elementary,Public School,Elementary School,KG,06,5400 Walter St,Stevens Point,WI,54482,05,Town - distant,Portage,OPEN,,Supplemental Virtual,,715-345-5668,715-345-7346,FALSE,www.pointschools.net
3619,Milwaukee,0432,Banner Preparatory School of Milwaukee,Public School,High School,06,12,3517A W Courtland Ave,Milwaukee,WI,53209,01,City - large,Milwaukee,OPEN,"Alternative, Partnership, Title I",Supplemental Virtual,,414-461-9561,414-461-9846,FALSE,www.milwaukee.k12.wi.us
3430,Menasha Joint,0160,Banta Bilingual Elementary,Public School,Elementary School,KG,05,328 Sixth St,Menasha,WI,54952,06,Suburb - midsize,Winnebago,OPEN,Title I,Supplemental Virtual,,920-967-1880,920-967-1455,FALSE,www.mjsd.k12.wi.us
6174,Waukesha,0020,Banting Elementary,Public School,Elementary School,K4,05,2019 Butler Dr,Waukesha,WI,53186,01,City - small,Waukesha,OPEN,Title I,Supplemental Virtual,,262-970-1205,262-970-1220,FALSE,www.waukesha.k12.wi.us
0280,Baraboo,0040,Baraboo High,Public School,High School,09,12,1201 Draper St,Baraboo,WI,53913,05,Town - distant,Sauk,OPEN,,Supplemental Virtual,,608-355-3940,608-355-3962,FALSE,www.baraboo.k12.wi.us
3619,Milwaukee,0188,Barbee Elementary,Public School,Elementary School,K4,07,4456 N Teutonia Ave,Milwaukee,WI,53209,01,City - large,Milwaukee,OPEN,Title I,Supplemental Virtual,,414-874-5600,414-874-5615,FALSE,www.milwaukee.k12.wi.us
4872,Ripon Area,0190,Barlow Park Charter School,Public School,Elementary School,KG,02,100 Ringstad Dr,Ripon,WI,54971,06,Town - distant,Fond du Lac,CLOSED,Charter,Supplemental Virtual,,920-748-1550,920-748-1552,TRUE,www.ripon.k12.wi.us
4872,Ripon Area,0130,Barlow Park Elementary School,Public School,Elementary School,K4,02,1120 Metomen St,Ripon,WI,54971,06,Town - distant,Fond du Lac,OPEN,Title I,Supplemental Virtual,,920-748-1550,920-748-1552,FALSE,www.ripon.k12.wi.us
0287,Barneveld,0020,Barneveld Elementary,Public School,Elementary School,K4,05,304 S Jones St,Barneveld,WI,53507,03,Rural - distant,Iowa,OPEN,Title I,,,608-924-4711,608-924-1646,FALSE,www.barneveld.k12.wi.us
0287,Barneveld,0040,Barneveld High,Public School,High School,09,12,304 S Jones St,Barneveld,WI,53507,03,Rural - distant,Iowa,OPEN,,,,608-924-4711,608-924-1646,FALSE,www.barneveld.k12.wi.us
0287,Barneveld,0200,Barneveld Middle School,Public School,Middle School,06,08,304 S Jones St,Barneveld,WI,53507,03,Rural - distant,Iowa,OPEN,,,,608-924-4711,608-924-4711,FALSE,http://www.barneveld.k12.wi.us.com
1883,Fort Atkinson,0020,Barrie Elementary,Public School,Elementary School,KG,05,1000 Harriette St,Fort Atkinson,WI,53538,02,Town - distant,Jefferson,OPEN,Title I,Supplemental Virtual,,920-563-7817,920-563-7821,FALSE,www.fortschools.org
0308,Barron Area,0100,Barron Area Montessori School,Public School,Elementary School,K4,06,230 Lulu Avenue,Almena,WI,54805,11,Rural - distant,Barron,OPEN,Charter,Supplemental Virtual,,715-357-3263,715-357-6513,TRUE,www.barronmontessori.org
